NID,CITY_WEBSITE,NAME,ARTIST,ARTIST WEBSITE,ARTIST_LOCATION,STREETART_LOCATION,MATERIALS,PRICE,STATEMENT
881,http://www.cityoflafayette.com/index.aspx?NID=881,Green Ball,"Tom Newport
            Cedar Rapids, IA",http://tomnewportdesign.com/home.html,"Cedar Rapids, IA","211 N Public Rd., Mojos Plaza",Stainless Steel,"$5,000 ","My fabricated stainless steel sculptures are often outwardly abstract, but are closely linked to nature and reality. The energy and the vitality expressed in my compositions reflect a subtle inner strength and spirit that expands and interacts gracefully with space and the surrounding environment. My work is inspired by experience in floral design, jewelry design and a general observation of the world around me."
882,http://www.cityoflafayette.com/index.aspx?NID=882,Curious George,"Judd Nelson
            Wayzata, Minnesota",http://juddnelsonstudios.com/,"Wayzata, Minnesota",Santiagos,Forged Steel,"$5,625 ","My sculptures are life size and the imagery is modern yet representational. The style is fluid and spontaneous, intent upon capturing movement and natural gestures that are typical of these birds. I add pieces of forged metal onto this basic structure I've created. My goal is to keep the figure loose and flowing and try to convey this feeling of movement to the viewer.On another level, I also want the viewer to see the metal for what it is. Hot, molten, jagged, and twisted pieces of steel. The previous life of this material is a beautiful contrast to the life and movement of living things."
883,http://www.cityoflafayette.com/index.aspx?NID=883,Winged Hunter,"Joellen Domenico
            Lafayette, Colorado",NONE,"Lafayette, Colorado","107 S Public Rd., Metro Brokers",Bronze Sculpture on Steel Base,"$8,000 ","My work centers around my love and admiration for animals and wildlife. As an artist, my desire is not only to create form and movement, but more importantly, to capture the true essence and magnificence of each creature. Nature is forever providing me countless opportunities and inspiration for new works. Through my creations, I hope to instill in others a deeper appreciation and inspiration to become a guardian of nature. I wish to create an awareness that as inhabitants of the Earth, we are all connected."
884,http://www.cityoflafayette.com/index.aspx?NID=884,Tradition,"Robert Henderson
            Canon City, Colorado",http://www.warbirdcentral.com/,"Canon City, Colorado",Cleveland & S. Public Roads,Mild Steel,"$18,000 ","Robert Henderson is the official sculptor for John Denver, Mario Andretti, and Walter Cronkite, to name a few.            The sculpture Tradition is an abstract statement of the importance of the family unit, on which our society was formed.Fine art needs to inform and entertain."
885,http://www.cityoflafayette.com/index.aspx?NID=885,More to Eatus,Richard Mertineit,NONE,NONE,"101 W. Cannon, back lawn","Iron, Steel, found objects","$8,000 ",Coming soon!
886,http://www.cityoflafayette.com/index.aspx?NID=886,Broken Promises,"Felix Valez
            Loveland, Colorado",http://felixvelezsculpture.com/index.php,"Loveland, Colorado",Kimbark & S. Public Road,Bronze,"$10,500 ","We are approaching a new age of spiritual art and enlightenment, when our hearts are influenced by what we see and touch. My art speaks many languages. My work is influenced by the passage of time and with God given talent, the transformation begins. Whether the subject is wild life, figurative or abstract, each piece expresses the essence of the moment, a message to the viewer. A moment in time when the viewer becomes more than an observer; he becomes a participant in the drama unfolding before his eyes.            Sculpting is my way of being creative without limits. I continually look for ways to discover new possibilities to challenge my imagination. Each piece of art, whether figurative or abstract, is an original and innovatively designed. It is delivered with excellence, performance, and integrity."
889,http://www.cityoflafayette.com/index.aspx?NID=889,New Dancing Moon IV,"Reven Swanson
            Denver, CO",http://www.revenswanson.com/,"Denver, CO",Festival Plaza West; 311 S. Public Rd.,"Mild Steel,fused glass","$6,800 ","The Dancing Moon series is an extension of the artists figurative sculpture series. The form is reduced to the most simple and geometric shape, yet continues to represent a female presence. The steel construction was tensioned so that a windy breeze or push from the finger tips makes it spring to life. The form is to reflect life as a celebration in a whimsical dance with the viewer and nature."
890,http://www.cityoflafayette.com/index.aspx?NID=890,Girly Curl,"Harold Linke
            Evergreen, Colorado",http://www.linkesculpture.com/,"Evergreen, Colorado","210 S. Public Road, Cannon Mine",Bronze,"$6,200 ","He calls it Essentialism, but I dont know. Harold takes the perfectly good bronze figurative dance sculptures hes carved for 25 years and subtracts everything that makes them--uh, fussy. Gone are the eyelashes and fingernails and heck, all of the details. The texture is gone and even the color (his new pieces are all-white bronze). He even subtracted the volume. Yep. They are like, say potato chips, but really curvy and long. You gotta see em. No really. Youve never seen anything like it.            He lived all his life in the West. A grey-beard, Stanford boy--engineering. Uses computers to design his prototypes and then makes them out of resins and such then casts them in bronze. Says people like bronze and that hes seen bronze four-thousand years old. I think he likes that its permanent--and beautiful."
891,http://www.cityoflafayette.com/index.aspx?NID=891,Nap Time,"Ed Gauss
Niwot, Colorado",NONE,"Niwot, Colorado",Festival Plaza; 311 S. Public Rd.,Ferrocement,"$2,500 ",The first Nap Time was commissioned in 1997 by the museum in Estes Park and naps on a bench next to their parking lot. This one is a shell structure made from architectural grade ferro-cement and could last centuries. It is a member of my whimsical animal series which are a celebration of things wild.
892,http://www.cityoflafayette.com/index.aspx?NID=892,the human factor,"Greg Wasil
            Lakewood, CO",http://justsomethingdifferent.com/,"Lakewood, CO",Festival Plaza Lawn; 311 S. Public Road,steel,"$6,250 ",I want everyone to enjoy my artwork.
